0.1	0.144337	1	0.16	0.84	1.0661e-08	0	1	1
0.2	0.144337	1	0.16	0.84	7.87746e-08	1142.86	1	1
0.3	0.144337	1	0.16	0.839999	5.8207e-07	2285.71	1	1
0.4	0.144337	1	0.160001	0.839995	4.30092e-06	3428.57	1	1
0.5	0.144337	1	0.160006	0.839962	3.17785e-05	4571.43	1	1
0.6	0.144337	1	0.160047	0.839718	0.000234745	5714.29	1	1
0.7	0.144337	1	0.160346	0.837923	0.00173084	6857.14	1	1
0.8	0.144337	1	0.162518	0.824892	0.0125903	8000	1	1
0.9	0.146561	1	0.176688	0.73987	0.083442	9142.86	1	1
1	0.587275	1	0.23	0.42	0.35	10285.7	1	1
1.1	2.92226	1	0.283312	0.10013	0.616558	11428.6	1	1
1.2	5.69574	1	0.297482	0.0151084	0.68741	12571.4	1	1
1.3	8.47144	1	0.299654	0.002077	0.698269	13714.3	1	1
1.4	11.2471	1	0.299953	0.000281694	0.699765	14857.1	1	1
1.5	14.0228	1	0.299994	3.81342e-05	0.699968	16000	1	1
